"ID (артикул)";"Номенклатура";"Наличие";"Цена"
"10440";"8.25x16.5 ET14 PCD8x203.2 HUB152.4 EKKA Диск для минипогрузчика";"294";"10640"
"10441";"9.75x16.5 ET0 PCD8x203.2 HUB152.4 EKKA Диск для минипогрузчика";"380";"10050"
"11186";"9.00x15.3 ET0 PCD6x205 HUB161 EKKA Диск для минипогрузчика";"8";"5460"
"6507";"9.75x16.5 ET0 PCD8x203.2 HUB152.4 LANTIAN Диск для минипогрузчика";"0";"13180"
"6524";"8.25x16.5 ET14 PCD8x203.2 HUB152.4 LANTIAN Диск для минипогрузчика";"0";"12920"
"6504";"8.25x16.5 ET14 PCD8x203.2 HUB152.4 Jantsa Диск для минипогрузчика";"0";"9000"
"6508";"9.75x16.5 ET0 PCD8x203.2 HUB152.4 Jantsa Диск для минипогрузчика";"0";"10500"
"11407";"9.75x16.5 ET40 PCD8x203.2 HUB152.4 HYWG Диск для минипогрузчика";"0";"10270"
"11406";"8.25x16.5 ET15 PCD8x203.2 HUB152.4 HYWG Диск для минипогрузчика";"0";"9920"
"11702";"9.75x16.5 ET-22 PCD8x203.2 HUB152.4 COPRAH Диск для минипогрузчика";"0";"11180"
"11742";"8.25x16.5 ET0 PCD8x203.2 HUB152.4 COPRAH Диск для минипогрузчика";"0";"9920"
"10442";"W15x28 ET31 PCD5x335 HUB289.5 EKKA Диск для экскаватора-погрузчика";"33";"36960"
"10443";"W9x18 ET0 PCD5x335 HUB290.5 EKKA Диск для экскаватора-погрузчика";"23";"11160"
"11194";"11x18 ET64 PCD8x275 HUB221 EKKA Диск для экскаватора-погрузчика";"23";"19150"
"11195";"DW15x24 ET82 PCD5x335 HUB290.5 EKKA Диск для экскаватора-погрузчика ";"13";"34300"
"11196";"DW15x24 ET36 PCD5x335 HUB290.5 EKKA Диск для экскаватора-погрузчика ";"16";"34300"
"11197";"W15x28 ET-50 PCD10x335 HUB281.5 EKKA Диск для экскаватора-погрузчика";"19";"43680"
"11198";"16x26 ET79 PCD5x335 HUB 290 EKKA Диск для экскаватора-погрузчика";"8";"46860"
"6517";"15Lx24 ET36 PCD5x335 HUB290 LANTIAN Диск для экскаватора-погрузчика ";"0";"31980"
"6518";"15Lx24 ET82 PCD5x335 HUB290 LANTIAN Диск для экскаватора-погрузчика ";"0";"31980"
"6512";"11.75x22.5 ET0 PCD10x335 HUB281 LANTIAN Диск грузовой";"34";"7640"
"11199";"19.50/2.5-25 ET0 PCD10x480 HUB421 EKKA Диск для фронтального погрузчика";"8";"51650"
"9319";"19.50/2.5-25 ET0 PCD10x480 HUB420 LANTIAN Диск для фронтального погрузчика";"0";"61180"
